CÓD. AGENTE,FORNECEDOR,MÉDIA IQF,DATA
17492, COMERCIAL DINA-MIX LTDA,100,2025-04-11 00:00:00
21068, GOMES COMERCIAL SHOP LTDA,100,2025-04-24 00:00:00
16721,12A COMERCIO E LOCACOES DE FERRAMENTAS LTDA,100,2025-04-07 13:54:57
16721,12A COMERCIO E LOCACOES DE FERRAMENTAS LTDA,100,2025-04-08 13:34:45
16721,12A COMERCIO E LOCACOES DE FERRAMENTAS LTDA,100,2025-04-24 00:00:00
3146,1TELECOM SERVICOS DE TECNOLOGIA EM INTERNET LTDA,100,2025-04-30 00:00:00
18294,24.374.799 ALEXANDRE CORREIA DA SILVA,100,2025-04-08 00:00:00
20858,45.272.679 LUCINEIA MARTINS,80,2025-04-04 16:07:23
18805,47.434.093 MARIA ANGELA SILVA DE ARAUJO,100,2025-04-01 00:00:00
3834,5 RS SOLUCOES AMBIENTAIS DE COM ATACADISTA E COLETA DE RESIDUOS IND LTDA,100,2025-04-04 00:00:00
21034,50.978.515 JOSE MARIA SOUZA GARCIA,100,2025-04-03 00:00:00
18242,51.894.695 EVANDRO CARLOS COSTA,100,2025-04-30 00:00:00
18417,53.352.094 MARCIA DRUMOND DOS SANTOS SENA,80,2025-04-24 00:00:00
17850,54.669.089 ELENILDA OLIVEIRA DA SILVA JOAQUIM,100,2025-04-28 00:00:00
18864,55.386.322 ELIELSON JOSE DO NASCIMENTO,100,2025-04-24 00:00:00
20757,57.127.773 ANDREY MECENI,100,2025-04-16 00:00:00
21003,59.701.499 EDMILSON JOSE DE LIMA JUNIOR,100,2025-04-02 00:00:00
21042,60.236.223 JOAO PAULO DIAS OLIVEIRA,100,2025-04-23 16:31:34
21042,60.236.223 JOAO PAULO DIAS OLIVEIRA,100,2025-04-30 00:00:00
19023,A GERADORA ALUGUEL DE MÁQUINAS S.A.,80,2025-04-16 00:00:00
19023,A GERADORA ALUGUEL DE MÁQUINAS S.A.,80,2025-04-25 00:00:00
17670,A. B. SITTA,100,2025-04-30 14:51:54
3392,A.M DE SOUZA GOMES COMERCIO DE FERRAMENTAS LTDA,85,2025-04-30 00:00:00
2898,A.M.S. ASSISTENCIA MEDICA E SAUDE LTDA ME,97.5,2025-04-23 00:00:00
4424,A.N.T. FERRAMENTAS - COMERCIAL E IMPORTADORA LTDA,100,2025-04-23 14:11:20
4424,A.N.T. FERRAMENTAS - COMERCIAL E IMPORTADORA LTDA,100,2025-04-23 14:21:38
16726,A.R.S. SUPRIMENTOS INDUSTRIAIS LTDA,100,2025-04-10 10:13:32
20146,A.S.SIMOES DA SILVEIRA,100,2025-04-30 00:00:00
8157,ABECOM ROLAMENTOS E PRODUTOS DE BORRACHA LTDA.,100,2025-04-02 00:00:00
8157,ABECOM ROLAMENTOS E PRODUTOS DE BORRACHA LTDA.,100,2025-04-07 00:00:00
8157,ABECOM ROLAMENTOS E PRODUTOS DE BORRACHA LTDA.,100,2025-04-16 13:38:39
8157,ABECOM ROLAMENTOS E PRODUTOS DE BORRACHA LTDA.,100,2025-04-16 13:41:16
8157,ABECOM ROLAMENTOS E PRODUTOS DE BORRACHA LTDA.,100,2025-04-23 13:34:56
8157,ABECOM ROLAMENTOS E PRODUTOS DE BORRACHA LTDA.,100,2025-04-28 00:00:00
8157,ABECOM ROLAMENTOS E PRODUTOS DE BORRACHA LTDA.,100,2025-04-28 09:18:43
8157,ABECOM ROLAMENTOS E PRODUTOS DE BORRACHA LTDA.,100,2025-04-29 15:43:08
8157,ABECOM ROLAMENTOS E PRODUTOS DE BORRACHA LTDA.,100,2025-04-30 00:00:00
8157,ABECOM ROLAMENTOS E PRODUTOS DE BORRACHA LTDA.,100,2025-04-30 10:50:07
3722,ABRASEG COMERCIO ATACADISTA E IMPORTACAO LTDA,79.37,2025-04-30 00:00:00
4264,ABRASUL ABRASIVO EPI SOLDASLTDA,100,2025-04-24 00:00:00
4264,ABRASUL ABRASIVO EPI SOLDASLTDA,88.75,2025-04-24 10:45:53
4264,ABRASUL ABRASIVO EPI SOLDASLTDA,100,2025-04-24 11:00:08
